Feature,Coefficient
lh_isthmuscingulate-lh_precuneus,-0.0
lh_isthmuscingulate-lh_rostralanteriorcingulate,0.0
lh_isthmuscingulate-lh_rostralmiddlefrontal,0.0
lh_isthmuscingulate-lh_superiorfrontal,-0.0
lh_isthmuscingulate-lh_superiorparietal,0.0
lh_isthmuscingulate-lh_superiortemporal,0.0
lh_isthmuscingulate-lh_supramarginal,-0.0
lh_isthmuscingulate-lh_frontalpole,0.0
lh_isthmuscingulate-lh_temporalpole,0.0
lh_isthmuscingulate-lh_transversetemporal,0.0
lh_isthmuscingulate-lh_insula,-0.0
lh_isthmuscingulate-rh_bankssts,0.0
lh_isthmuscingulate-rh_caudalanteriorcingulate,0.0
lh_isthmuscingulate-rh_caudalmiddlefrontal,-0.0
lh_isthmuscingulate-rh_cuneus,0.009981449659747543
lh_isthmuscingulate-rh_entorhinal,0.0
lh_isthmuscingulate-rh_fusiform,-0.0
lh_isthmuscingulate-rh_inferiorparietal,0.0
lh_isthmuscingulate-rh_inferiortemporal,-0.0
