Row,Component_1,Component_2,Component_3
lh_cuneus-lh_temporalpole,3.38065499438125e-06,2.78976150303852e-05,-4.22862943240777e-06
lh_cuneus-lh_transversetemporal,-6.98941472420121e-06,2.98188746496542e-06,-1.51434891275552e-05
lh_cuneus-lh_insula,1.15360720038898e-06,2.28164087934496e-05,1.16671661661715e-05
lh_cuneus-rh_bankssts,-2.43655165041655e-06,1.50413567125526e-05,4.22218412184745e-06
lh_cuneus-rh_caudalanteriorcingulate,-2.00986832638187e-05,-2.64695083876237e-05,-7.05925783312743e-05
lh_cuneus-rh_caudalmiddlefrontal,-7.32939425994109e-07,1.37742140520582e-05,-2.48276564419408e-05
lh_cuneus-rh_cuneus,-2.55879119817377e-06,2.93069874334007e-06,7.5056007290473e-07
lh_cuneus-rh_entorhinal,-4.1174641261164e-07,1.28544319459354e-05,-1.59805222759307e-05
lh_cuneus-rh_fusiform,-6.26341314263585e-06,6.74629482068254e-06,-2.74650366932234e-05
lh_cuneus-rh_inferiorparietal,-3.62888436687602e-06,8.19524812010957e-06,-3.37945535709297e-05
lh_cuneus-rh_inferiortemporal,-4.13263373291484e-06,1.0761892224273e-05,-2.68822197611099e-05
lh_cuneus-rh_isthmuscingulate,-1.01383387147299e-05,-9.47894759037626e-06,-4.62008335831955e-05
lh_cuneus-rh_lateraloccipital,-1.04179539962389e-05,-1.35182866219902e-05,-5.78720871460215e-05
lh_cuneus-rh_lateralorbitofrontal,-9.39485394687898e-06,-5.87387279221945e-07,-4.64478782472767e-05
lh_cuneus-rh_lingual,-3.18220179928522e-06,6.96628977477945e-06,7.09608609418348e-06
lh_cuneus-rh_medialorbitofrontal,-6.69813772623651e-06,9.08398731718012e-06,-1.15795211564159e-05
lh_cuneus-rh_middletemporal,-3.32083010932535e-06,1.22249396929737e-05,-2.8796617032413e-05
lh_cuneus-rh_parahippocampal,-1.1845067225282e-05,-1.27442488121037e-05,-5.31761302523628e-05
lh_cuneus-rh_paracentral,-4.37722984742807e-06,2.67412239867755e-06,-4.6565976416447e-05
