Row,Component_1,Component_2
lh_cuneus-lh_parahippocampal,8.85467296096711e-06,-2.44576589686734e-05
lh_cuneus-lh_paracentral,7.84391388916914e-06,-5.54655058445896e-05
lh_cuneus-lh_parsopercularis,3.56752490612266e-05,4.86093036012105e-06
lh_cuneus-lh_parsorbitalis,2.25297847149577e-05,-2.03321421031411e-05
lh_cuneus-lh_parstriangularis,2.85094531867092e-05,-3.07473726987112e-06
lh_cuneus-lh_pericalcarine,1.85453588361101e-06,1.97205870627835e-05
lh_cuneus-lh_postcentral,6.29770279718907e-06,-5.2323708235541e-05
lh_cuneus-lh_posteriorcingulate,4.78516583039261e-06,-1.66525813580097e-05
lh_cuneus-lh_precentral,3.00565015514909e-05,-2.08881961575363e-05
lh_cuneus-lh_precuneus,2.95276540039906e-05,1.28950439012789e-05
lh_cuneus-lh_rostralanteriorcingulate,9.07570445210653e-06,3.28057625172677e-07
lh_cuneus-lh_rostralmiddlefrontal,2.97251240361758e-05,-4.41204027686797e-06
lh_cuneus-lh_superiorfrontal,4.02021872607267e-05,1.86394866888401e-05
lh_cuneus-lh_superiorparietal,1.99117684188859e-05,-2.26943778182483e-05
lh_cuneus-lh_superiortemporal,2.59673616502132e-05,-2.13473186751049e-05
lh_cuneus-lh_supramarginal,2.94802076544907e-05,-1.15289529634935e-05
lh_cuneus-lh_frontalpole,8.23106925225525e-06,-2.20015633139179e-05
lh_cuneus-lh_temporalpole,2.52212441377579e-05,4.72650907686346e-07
lh_cuneus-lh_transversetemporal,-7.19510798088688e-06,-4.12566421860021e-05
lh_cuneus-lh_insula,2.58034758206662e-05,1.4682887690442e-05
lh_cuneus-rh_bankssts,1.49650091032814e-05,1.31449786424196e-05
lh_cuneus-rh_caudalanteriorcingulate,-8.38445475422288e-06,-3.46239820569851e-05
lh_cuneus-rh_caudalmiddlefrontal,2.95007689902219e-05,4.47902508629445e-06
lh_cuneus-rh_cuneus,-9.30924404965854e-06,-2.93709363511212e-05
lh_cuneus-rh_entorhinal,3.21730053219896e-05,3.90874271058796e-05
lh_cuneus-rh_fusiform,2.00883156126056e-05,8.31252998478405e-06
lh_cuneus-rh_inferiorparietal,2.4456098984072e-05,-3.96473717503325e-06
lh_cuneus-rh_inferiortemporal,1.9486576601328e-05,-1.33072374554675e-05
lh_cuneus-rh_isthmuscingulate,-5.86921044199226e-06,-5.4731452938194e-05
