,Component_1,Component_2,Component_3,Component_4,Component_5
lh_bankssts-lh_insula,0.003321209001707745,0.005847590877248996,-0.0011353554755660067,0.005941325676456711,-0.0018639332909707032
lh_bankssts-rh_bankssts,0.009868837157878984,-0.002193620147878237,-0.002151769090384617,0.00949472336251213,0.008850685283681943
lh_bankssts-rh_caudalanteriorcingulate,0.006896898074376971,0.029081055826229708,-0.03222335791125412,0.009705730176834487,-0.030806237180124502
lh_bankssts-rh_caudalmiddlefrontal,0.02534922285192203,-0.0023576189178909036,-0.00743303955046925,-0.009597721078405945,-0.0005119784709352522
lh_bankssts-rh_cuneus,0.013822754878884869,0.005334322466617979,0.03498774349377809,-0.024774601850924376,-0.009667914110529655
lh_bankssts-rh_entorhinal,0.028812820784421177,-0.007298517482854184,0.0041046919081020585,-0.0193751510848031,-0.031084953984761028
lh_bankssts-rh_fusiform,0.03090522226831514,-0.0038475315973194217,-0.006179957273755168,-0.0191580374618981,-0.007109420555132683
lh_bankssts-rh_inferiorparietal,0.03247547922676976,-0.01048087802716414,0.0026170910665404726,-0.0063529063266907545,0.004832836664357094
lh_bankssts-rh_inferiortemporal,0.03452811136719608,-0.007837119637204052,-0.00029240849690726964,-0.019410846259728286,-0.01689750057460706
lh_bankssts-rh_isthmuscingulate,0.010486706558950603,0.006860616657264417,0.015181521484844623,0.0055088786894750726,-0.015577831195925936
lh_bankssts-rh_lateraloccipital,0.019672090970210457,0.0038261815762924804,0.010775512012222625,-0.018925449713713932,0.00477661402646761
lh_bankssts-rh_lateralorbitofrontal,0.036953923022808234,-0.009553989757960174,-0.006056727484883554,-0.02308269541450456,-0.010250210831940507
lh_bankssts-rh_lingual,0.009257283380358222,0.017740894636306494,0.021868184599752885,-0.02471425281834014,-0.001867102312430209
lh_bankssts-rh_medialorbitofrontal,0.035890405801283706,-0.009847446606540345,0.002106504458702981,-0.010527670218419634,0.00042226185759057993
lh_bankssts-rh_middletemporal,0.03405688218920133,-0.010753544952373961,0.004847186384982793,-0.007756701786815848,-0.0014325501665396914
lh_bankssts-rh_parahippocampal,0.02394890526880954,-0.001011753621430708,-0.009627870550610802,-0.01665576235035148,-0.01586378314945635
lh_bankssts-rh_paracentral,0.03114923897349828,-0.004768372305587662,-0.0015791109514408672,-0.0010717184646669802,0.001761951629956892
lh_bankssts-rh_parsopercularis,0.02894719184263161,-0.008896682338780774,0.004855696505657771,0.006749147113433952,0.021254782391392012
lh_bankssts-rh_parsorbitalis,0.030368134995203102,-0.004637017803592267,-0.0022733877083555686,-0.010516829172184603,0.009125133783056493
lh_bankssts-rh_parstriangularis,0.02931853075214081,-0.002681879503901387,-0.005799525667714884,-0.014878274441154646,-0.004349105052004477
lh_bankssts-rh_pericalcarine,-0.0012570069946482773,0.01088335805523553,0.041107807983760215,-0.0141574084196623,0.01575920956156406
lh_bankssts-rh_postcentral,0.021104720826932707,0.008745210613481104,0.005952835265460569,-0.0037055315252726576,0.01472551284664396
lh_bankssts-rh_posteriorcingulate,0.006527665128627519,0.021371847786297804,-0.020699902777507845,0.010763134306242957,-0.04791569197339078
lh_bankssts-rh_precentral,0.028193330746267835,-0.0005992750232967829,-0.013279425437942166,-0.01914409449923422,-0.004120691805569153
