,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
lh_caudalanteriorcingulate-lh_postcentral,-0.023724091978514442,0.02064124542731573,-0.012432477238087212,-0.02031752427111781,0.0005229216275837363,0.010334633644758541,0.005329831676890114,0.0011698436314072078,-0.019519819597200335,0.017787989505070007
lh_caudalanteriorcingulate-lh_posteriorcingulate,-0.016057004585986516,0.014363482170575006,0.0066234842409636585,-0.00048059787869405635,0.00944967724134174,0.02071133136994479,0.0018402062042446815,0.009779512097019607,-0.0218956989625874,0.019688311340177164
lh_caudalanteriorcingulate-lh_precentral,-0.02047801748714245,0.03797377129037983,-0.002745345279821167,-0.04728245989716607,0.01078157457808509,0.012069408884636973,-0.01649798364821413,0.019391571773900496,-0.024455937970204643,0.02637110345455452
lh_caudalanteriorcingulate-lh_precuneus,-0.020294476908811247,0.03638917062052527,0.0017945563506961977,-0.03608435461134884,0.0035674459332226847,0.012191938085661144,-0.01735644819740845,0.01983485610862048,-0.024035319431999914,0.03653825181823062
lh_caudalanteriorcingulate-lh_rostralanteriorcingulate,-0.029046793671268147,-0.006006322871019469,-0.011666586580966355,-0.042850269938598036,-0.012856024070615294,-0.009316969012980802,-0.022019743505583212,0.0037647345716653254,-0.03370166789951829,0.019027277495195217
lh_caudalanteriorcingulate-lh_rostralmiddlefrontal,-0.021530097112483944,0.029243621595904185,-0.0072312658312468,-0.047560843523993625,0.0055352090450831535,0.005316865441097403,-0.020593858607638717,0.021326361135619306,-0.008649098014407233,0.04285128306395437
lh_caudalanteriorcingulate-lh_superiorfrontal,-0.009987286878082584,0.046039191576912226,-0.0036326308536461524,-0.060004727875115974,-0.009508123120290214,-0.006882525653749333,-0.032491599796259964,0.01714425874930415,-0.025669262370584246,0.026724452433535956
lh_caudalanteriorcingulate-lh_superiorparietal,-0.013197050803680914,0.041680242625287085,0.003480855514910748,-0.02103362184219571,0.004045320399763704,0.012760581389094009,-0.008268132376139376,0.016205467479645647,-0.01549563767928476,0.050198449023455737
lh_caudalanteriorcingulate-lh_superiortemporal,-0.01565063480339321,0.04561418003678089,-0.002623980783834098,-0.04137719483244464,0.011290603023820608,0.009513505640516971,-0.013865733533244988,0.02017814161009279,-0.0015545231712245239,0.02428659515716998
lh_caudalanteriorcingulate-lh_supramarginal,-0.014412026394882652,0.045055801302761746,0.0044483749539886005,-0.04035644491160034,0.013474443882649184,0.018232071423143394,-0.018433857755711585,0.025031023733112435,-0.013157704367858802,0.03141277436296975
lh_caudalanteriorcingulate-lh_frontalpole,-0.009646365199921013,0.03854910083541756,-0.00710554215299933,-0.01922314023317167,-0.010636165787663902,0.01696918010106115,-0.012673759381591354,-0.01297074916634727,-0.009457706784725036,0.012279420321950509
lh_caudalanteriorcingulate-lh_temporalpole,0.0020860287078489437,0.05484756703766467,0.001061629074962107,-0.008230496405358159,0.025091995644609427,0.02163440701932924,-0.005555576242007195,-0.01205601789604701,-0.008795347194466367,-0.013771614329514768
lh_caudalanteriorcingulate-lh_transversetemporal,-0.019435135395599587,0.017920249402300047,-0.0046228574082834316,-0.03504307255097387,0.007514664483904579,0.01358390373376242,-0.0054200956936374806,0.02619687604101851,-0.0017007939793258384,0.02580424619762029
lh_caudalanteriorcingulate-lh_insula,0.0021212946618175857,0.0554051191909152,0.024871456708544237,0.01274132469975328,0.03762643594216974,0.03896889077594048,0.020827987932146748,0.04996696501839103,0.00529102496600763,0.023868046738960407
lh_caudalanteriorcingulate-rh_bankssts,-0.004801749377128068,0.04974096796475107,0.009438149035119072,-0.028974945105893036,0.008706429605695086,0.033772930199257624,-0.01828882507275612,0.023520962708481943,-0.002363421092053317,0.014615846373157016
lh_caudalanteriorcingulate-rh_caudalanteriorcingulate,-0.019083863976834252,-0.007553143377879371,-0.010965021891183528,-0.020743706837697308,0.005867002778384619,0.009043541581985552,0.013937763945336076,0.002540696362922943,-0.020468687268250265,0.007445900346407116
