,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
IC6-IC12,0.042614443575192014,0.04131023931046877,-0.09828245289462559,-0.017215910120944776,-0.010789566869195938,-0.03142369194625647,-0.0020882802164183282,0.058771684985230256,-0.036833227655839136
IC6-IC13,0.010353872187395157,0.08243682310498612,0.029159838517988878,-0.0006641240052923103,0.013314630938184637,-0.026407533440401258,-0.09402501254441586,0.06496307629058133,-0.09319209941097573
IC6-IC14,0.07201046106454873,0.05151418360922282,-0.06797008414511806,-0.06158589353982629,-0.027284223615249382,-0.03252084389751923,-0.01279464599031076,0.06702104730253985,-0.00013886271485412263
IC6-IC15,0.0008274719605243131,-0.07629409789632861,-0.055578529681497145,-0.010026617248099915,0.06984198659820277,-0.08985690854076303,-0.008127506069682953,-0.19244135068454474,-0.041015741302551874
IC6-IC16,0.103549436220023,0.08586440123680754,-0.15176507569818518,-0.06913660137458318,-0.07465323970292785,0.09988940538378396,0.09673851715750845,0.011722420480937785,0.08843828583745059
IC6-IC17,0.09878045495784785,-0.18148252814522897,0.014803979513472346,0.014495119645645437,-0.031137695345210662,-0.056347012576485056,-0.008061905270619993,0.12266444544945362,0.046613137846785994
IC6-IC18,0.06313508285623931,-0.15691568311321202,0.04375885382373358,0.02688895283527302,0.04627579268473612,-0.015115319693134838,-0.011184186990446725,0.061934432200851146,0.04721951758108643
IC6-IC19,0.027553333912503173,-0.19722986831346398,0.08732243389820044,0.07899125654535742,0.058885045961080164,0.018138077262701877,0.08645499234826604,0.044143782992510976,-0.02031973206131256
IC6-IC20,0.10624516734626256,-0.01720135802929361,0.047060293264753264,-0.0955077138946565,-0.09426691803039702,-0.015597854541227151,-0.03245906593578329,0.017528414412256894,-0.1447806351804509
IC6-IC21,-0.04053343281433907,0.0564655676591962,-0.04968145759923913,0.07467788656436118,0.0024063049901647533,-0.056545203645733504,0.06502760667143155,0.06780020463892093,0.1880220122962832
IC7-IC8,-0.038066124868244504,0.011216229532655109,-0.10103227956901259,0.0713689978217786,0.06376383225822714,-0.040323894989668534,-0.0036696837469811293,-0.00134904593248797,0.018743965459887046
IC7-IC9,-0.057556271590387446,0.05189546033976304,-0.0015890380863530882,-0.1441109680295968,0.10073606320727727,-0.006587852975033414,0.03252878454900906,0.17655664915331387,-0.037455053309834015
IC7-IC10,0.06977890386159592,-0.023387483919188733,-0.0987982593057513,-0.021731109731964775,0.0030318143508248365,0.06133063545299299,0.011614571976164117,0.10084446097105292,-0.007582898863516106
IC7-IC11,0.10437534012705023,-0.07990144465399981,-0.07724732658872256,-0.018628128408079318,-0.008103967648702843,0.06831171056972268,-0.14511950361176837,-0.08168749013042738,0.13179950263269327
IC7-IC12,0.007455717293586786,0.032163696008502995,-0.042919332141915095,0.003100062697134065,0.0313074910833629,-0.03723809768791351,-0.030814084526429333,0.11217788718598863,0.07169493299173496
IC7-IC13,0.024998891520373465,0.028733540793808174,-0.1511101601780932,-0.03089209369883511,0.01707276975668528,0.03286794294737317,0.0497681663601659,-2.0242077909388675e-05,-0.02000101907896721
IC7-IC14,0.05986083110711589,-0.0012242622834363187,-0.007485050386302264,-0.1315842887768631,-0.06228750917718989,-0.04100847026154696,-0.05627932095716829,0.062140550314568534,0.06631300207708894
IC7-IC15,0.024427802540550606,-0.02833955182395126,-0.017801476880977347,-0.1301483204244577,0.12600732995791877,-0.07494464381306382,0.04769136155903274,-0.11228766459037229,0.026790077829374283
